Horodateur,Score,Choose you pseudo,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15
07/04/2024 12:29:57,15 / 15,GroudTruth,Egypt,Egypt,Tunisia,Egypt,Spain,Tunisia,Tunisia,Spain,Greece,Spain,France,France,Greece,France,Greece
07/04/2024 12:54:30,3 / 15,test,"Greece, Spain, Egypt","Tunisia, Egypt","Spain, France","Greece, France, Egypt",Spain,Tunisia,Tunisia,"Greece, Spain, France","Tunisia, Egypt","Greece, Spain, France","Greece, Spain","Tunisia, France","Spain, Egypt","Tunisia, Spain","Greece, Spain, France, Egypt"
07/04/2024 13:00:41,6 / 15,Test Maha,Egypt,Tunisia,Tunisia,"Spain, Egypt","Spain, France",Tunisia,Tunisia,"Spain, France",Greece,"Greece, Spain, France",France,"Greece, Spain, France","Greece, Spain, France","Greece, France","Spain, France"
